,A,Average Aggregation Delay (ms),IoT Device Battery (V),Data per Packet,B,Goodput (B/s),G/T (%),Packet Loss (%),Received Packets,Sent Packets,Gateway Received Packets (pps),Router Received Packet (pps),Sampling Interval (s),C,Throughput (B/s),Topology,AB,AC,BC,ABC
100,-1,52.40937202664129,2.444268627450981,10,1,7219.2,73.31593325682717,-1.3059380378657481,1051,9296,105.1,929.6,10,1,9846.7,wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwc,-1,-1,1,-1
101,-1,50.5384693877551,2.472193298969071,10,1,6074.4,73.36763533589391,-0.91044037605146,882,8084,88.2,808.4,10,1,8279.4,wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwc,-1,-1,1,-1
102,-1,40.56042635658915,2.504728820960702,10,1,7972.0,73.30911766058209,-1.300369865680357,1161,10274,116.1,1027.4,10,1,10874.5,wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwc,-1,-1,1,-1
103,-1,45.88732882011605,2.415367841409694,10,1,7063.2,73.207437656765,-0.914080641756386,1034,9474,103.4,947.4,10,1,9648.2,wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwc,-1,-1,1,-1
104,-1,52.64641050375134,2.52275668789809,10,1,6536.0,73.6990471894909,-0.5578816340387001,933,8837,93.3,883.7,10,1,8868.5,wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwc,-1,-1,1,-1
105,-1,50.412694417238,2.4735891402714962,10,1,7081.6,73.50556876096365,-1.131705189707805,1021,9172,102.1,917.2,10,1,9634.1,wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwc,-1,-1,1,-1
106,-1,50.488974541751524,2.5170989130434798,10,1,6825.6,73.54696894597332,-1.189608021877848,982,8776,98.2,877.6,10,1,9280.6,wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwc,-1,-1,1,-1
107,-1,47.80108971962617,2.461503720930235,10,1,7295.2,73.17004673928307,-1.393887764881269,1070,9391,107.0,939.1,10,1,9970.2,wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwc,-1,-1,1,-1
108,-1,87.25963344594595,2.531208602150538,10,1,4169.6,73.80345511186633,-1.005763153002417,592,5379,59.2,537.9,10,1,5649.6,wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwc,-1,-1,1,-1
109,-1,48.86876720075401,2.491017699115047,10,1,7293.6,73.33125546696695,-1.271645596515457,1061,9413,106.1,941.3,10,1,9946.1,wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwc,-1,-1,1,-1
110,-1,55.02533919338159,2.497639204545455,10,1,6694.4,73.4687606317014,-1.24810980574619,967,8597,96.7,859.7,10,1,9111.9,wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwc,-1,-1,1,-1
111,-1,58.404030303030304,2.451275428571429,10,1,5448.0,73.34410339256866,-1.253196930946292,792,7038,79.2,703.8,10,1,7428.0,wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwc,-1,-1,1,-1
112,-1,52.72080998914224,2.525499999999999,10,1,6337.6,73.35100288191109,-1.2743297833272131,921,8169,92.1,816.9,10,1,8640.1,wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwc,-1,-1,1,-1
113,-1,62.832070694087406,2.536231292517007,10,1,5337.6,73.29250542388708,-1.291727140783744,778,6890,77.8,689.0,10,1,7282.6,wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwc,-1,-1,1,-1
114,-1,41.666230638297876,2.523768750000002,10,1,8166.4,73.54533091976693,-1.180892568274811,1175,10509,117.5,1050.9,10,1,11103.9,wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwc,-1,-1,1,-1
115,-1,47.37262296650718,2.51291363636364,10,1,7100.0,73.1016731016731,-1.380962753212807,1045,9182,104.5,918.2,10,1,9712.5,wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwc,-1,-1,1,-1
116,-1,46.53004545454545,2.4986070754717,10,1,6887.2,73.13426496198446,-1.372064276885043,1012,8899,101.2,889.9,10,1,9417.2,wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwc,-1,-1,1,-1
